timestamp,open,high,low,close
2019-06-11,7.4680,7.4692,7.4667,7.4686
2019-06-10,7.4680,7.4691,7.4667,7.4682
2019-06-09,7.4681,7.4744,7.4638,7.4680
2019-06-07,7.4675,7.4732,7.4660,7.4732
2019-06-06,7.4676,7.4691,7.4661,7.4681
2019-06-05,7.4680,7.4688,7.4652,7.4681
2019-06-04,7.4674,7.4699,7.4660,7.4686
2019-06-03,7.4673,7.4689,7.4645,7.4677
2019-06-02,7.4684,7.4699,7.4646,7.4676
2019-05-31,7.4676,7.4684,7.4651,7.4670
2019-05-30,7.4681,7.4694,7.4649,7.4676
2019-05-29,7.4659,7.4696,7.4653,7.4691
2019-05-28,7.4675,7.4695,7.4649,7.4688
2019-05-27,7.4676,7.4707,7.4647,7.4687
2019-05-26,7.4677,7.4698,7.4627,7.4680
2019-05-24,7.4671,7.4689,7.4656,7.4686
2019-05-23,7.4672,7.4688,7.4657,7.4674
2019-05-22,7.4680,7.4686,7.4639,7.4673
2019-05-21,7.4687,7.4706,7.4668,7.4682
2019-05-20,7.4677,7.4713,7.4661,7.4690
2019-05-19,7.4677,7.4704,7.4658,7.4676
2019-05-17,7.4677,7.4689,7.4500,7.4500
2019-05-16,7.4682,7.4696,7.4658,7.4681
2019-05-15,7.4665,7.4702,7.4655,7.4685
2019-05-14,7.4673,7.4721,7.4659,7.4688
2019-05-13,7.4653,7.4685,7.4644,7.4674
2019-05-12,7.4653,7.4683,7.4639,7.4658
2019-05-10,7.4663,7.4696,7.4642,7.4696
2019-05-09,7.4644,7.4702,7.4634,7.4662
2019-05-08,7.4653,7.4674,7.4642,7.4649
2019-05-07,7.4656,7.4673,7.4642,7.4657
2019-05-06,7.4654,7.4671,7.4641,7.4660
2019-05-05,7.4659,7.4711,7.4594,7.4658
2019-05-03,7.4644,7.4665,7.4609,7.4609
2019-05-02,7.4653,7.4663,7.4632,7.4656
2019-05-01,7.4655,7.4664,7.4525,7.4656
2019-04-30,7.4653,7.4687,7.4640,7.4659
2019-04-29,7.4662,7.4682,7.4642,7.4649
2019-04-28,7.4654,7.4678,7.4607,7.4651
2019-04-26,7.4656,7.4687,7.4637,7.4650
2019-04-25,7.4661,7.4688,7.4643,7.4661
2019-04-24,7.4661,7.4702,7.4469,7.4664
2019-04-23,7.4666,7.4703,7.4509,7.4663
2019-04-22,7.4650,7.4680,7.4647,7.4662
2019-04-21,7.4659,7.4674,7.4645,7.4660
2019-04-19,7.4660,7.4681,7.4638,7.4659
2019-04-18,7.4653,7.4695,7.4643,7.4660
2019-04-17,7.4646,7.4689,7.4634,7.4657
2019-04-16,7.4610,7.4673,7.4601,7.4650
