timestamp,open,high,low,close
2019-06-11,4.0483,4.0550,4.0431,4.0489
2019-06-10,4.0486,4.0558,4.0432,4.0475
2019-06-09,4.0572,4.0572,4.0440,4.0488
2019-06-07,4.0539,4.0692,4.0435,4.0507
2019-06-06,4.0456,4.0631,4.0354,4.0532
2019-06-05,4.0720,4.0759,4.0430,4.0442
2019-06-04,4.0585,4.0754,4.0570,4.0700
2019-06-03,4.0481,4.0670,4.0434,4.0583
2019-06-02,4.0071,4.0518,4.0071,4.0479
2019-05-31,4.0408,4.0544,4.0327,4.0497
2019-05-30,4.0259,4.0454,4.0197,4.0383
2019-05-29,4.0327,4.0389,4.0187,4.0238
2019-05-28,4.0332,4.0447,4.0217,4.0312
2019-05-27,4.0340,4.0420,4.0275,4.0334
2019-05-26,4.0369,4.0388,4.0332,4.0338
2019-05-24,4.0330,4.0413,4.0239,4.0357
2019-05-23,4.0269,4.0391,4.0123,4.0318
2019-05-22,4.0399,4.0419,4.0238,4.0265
2019-05-21,3.9973,4.0424,3.9909,4.0390
2019-05-20,3.9944,4.0032,3.9754,3.9970
2019-05-19,4.0069,4.0069,3.9795,3.9875
2019-05-17,3.9913,3.9976,3.9798,3.9858
2019-05-16,4.0007,4.0092,3.9827,3.9894
2019-05-15,4.0051,4.0069,3.9846,4.0006
2019-05-14,4.0165,4.0244,3.9996,4.0052
2019-05-13,4.0023,4.0203,3.9955,4.0164
2019-05-12,4.0006,4.0035,3.9979,4.0022
2019-05-10,4.0039,4.0142,3.9939,4.0012
2019-05-09,4.0002,4.0128,3.9911,4.0033
2019-05-08,4.0184,4.0227,3.9897,3.9974
2019-05-07,4.0157,4.0224,4.0060,4.0170
2019-05-06,4.0167,4.0215,4.0055,4.0155
2019-05-05,3.9967,4.0281,3.9919,4.0098
2019-05-03,4.0223,4.0230,3.9969,4.0106
2019-05-02,4.0244,4.0349,4.0177,4.0217
2019-05-01,4.0352,4.0384,4.0142,4.0226
2019-04-30,4.0342,4.0468,4.0285,4.0350
2019-04-29,4.0490,4.0494,4.0275,4.0338
2019-04-28,4.0613,4.0613,4.0349,4.0493
2019-04-26,4.0441,4.0505,4.0323,4.0370
2019-04-25,4.0435,4.0495,4.0165,4.0434
2019-04-24,4.0438,4.0537,4.0364,4.0437
2019-04-23,4.0456,4.0508,4.0302,4.0423
2019-04-22,4.0382,4.0487,4.0345,4.0453
2019-04-21,4.0404,4.0419,4.0386,4.0409
2019-04-19,4.0368,4.0439,4.0342,4.0408
2019-04-18,4.0355,4.0441,4.0193,4.0366
2019-04-17,4.0238,4.0487,4.0214,4.0336
2019-04-16,4.0230,4.0324,4.0087,4.0212
2019-04-15,4.0334,4.0370,4.0207,4.0231
2019-04-14,4.0288,4.0332,4.0272,4.0329
2019-04-12,4.0298,4.0429,4.0263,4.0302
2019-04-11,4.0359,4.0420,4.0257,4.0287
2019-04-10,4.0312,4.0371,4.0200,4.0346
2019-04-09,4.0360,4.0411,4.0256,4.0311
2019-04-08,4.0070,4.0420,4.0070,4.0329
2019-04-07,4.0244,4.0250,4.0066,4.0148
2019-04-05,4.0212,4.0296,4.0093,4.0156
2019-04-04,4.0456,4.0503,4.0203,4.0214
2019-04-03,4.0605,4.0675,4.0380,4.0447
2019-04-02,4.0574,4.0646,4.0468,4.0585
2019-04-01,4.0738,4.0830,4.0469,4.0502
2019-03-31,4.0788,4.0844,4.0666,4.0735
2019-03-29,4.0691,4.0809,4.0656,4.0764
2019-03-28,4.0876,4.0954,4.0635,4.0672
2019-03-27,4.0808,4.0999,4.0718,4.0861
2019-03-26,4.1028,4.1043,4.0745,4.0787
2019-03-25,4.0851,4.1103,4.0842,4.1028
2019-03-24,4.0812,4.0911,4.0812,4.0852
2019-03-22,4.0905,4.0986,4.0714,4.0905
2019-03-21,4.1065,4.1117,4.0849,4.0903
2019-03-20,4.0915,4.1154,4.0856,4.1044
2019-03-19,4.0843,4.0980,4.0838,4.0922
2019-03-18,4.0704,4.0899,4.0666,4.0847
2019-03-17,4.4086,4.4086,4.0685,4.0706
2019-03-15,4.0790,4.0896,4.0637,4.0733
2019-03-14,4.0824,4.0842,4.0587,4.0788
2019-03-13,4.0776,4.0895,4.0670,4.0806
2019-03-12,4.0801,4.0847,4.0627,4.0756
2019-03-11,4.0666,4.0844,4.0551,4.0741
2019-03-10,4.0722,4.0801,4.0634,4.0662
2019-03-08,4.0553,4.0838,4.0533,4.0785
2019-03-07,4.0789,4.0940,4.0530,4.0538
2019-03-06,4.0855,4.0951,4.0766,4.0786
2019-03-05,4.1057,4.1089,4.0828,4.0854
2019-03-04,4.1251,4.1301,4.0955,4.1049
2019-03-03,4.1139,4.1353,4.1139,4.1177
2019-03-01,4.1198,4.1376,4.1108,4.1266
2019-02-28,4.1109,4.1351,4.1022,4.1216
2019-02-27,4.1250,4.1261,4.1045,4.1119
2019-02-26,4.1009,4.1244,4.0927,4.1220
2019-02-25,4.0938,4.1035,4.0861,4.1002
2019-02-24,4.0870,4.0984,4.0870,4.0950
2019-02-22,4.1018,4.1053,4.0879,4.0928
2019-02-21,4.0956,4.1117,4.0833,4.1015
2019-02-20,4.1034,4.1093,4.0895,4.0938
2019-02-19,4.0933,4.1103,4.0850,4.1020
2019-02-18,4.0884,4.1029,4.0811,4.0947
2019-02-17,4.0893,4.0931,4.0704,4.0886
2019-02-15,4.1065,4.1105,4.0695,4.0883
2019-02-14,4.1108,4.1334,4.0992,4.1037
2019-02-13,4.1209,4.1260,4.1038,4.1095
2019-02-12,4.1129,4.1244,4.1004,4.1210
2019-02-11,4.1132,4.1264,4.1056,4.1111
2019-02-10,4.1108,4.1246,4.1079,4.1092
2019-02-08,4.1225,4.1291,4.1086,4.1223
2019-02-07,4.1173,4.1300,4.1021,4.1225
2019-02-06,4.1176,4.1278,4.1087,4.1174
2019-02-05,4.1277,4.1376,4.1110,4.1167
2019-02-04,4.1666,4.1676,4.1206,4.1278
2019-02-03,4.1518,4.1678,4.1495,4.1528
2019-02-01,4.1566,4.1772,4.1521,4.1664
2019-01-31,4.1975,4.2066,4.1560,4.1564
2019-01-30,4.2086,4.2114,4.1770,4.1939
2019-01-29,4.1995,4.2099,4.1938,4.2065
2019-01-28,4.1711,4.2068,4.1711,4.1995
2019-01-27,4.1743,4.1829,4.1662,4.1710
2019-01-25,4.1639,4.1859,4.1635,4.1768
2019-01-24,4.1804,4.1854,4.1575,4.1639
2019-01-23,4.1803,4.1904,4.1758,4.1800
2019-01-22,4.2000,4.2044,4.1736,4.1809
2019-01-21,4.2030,4.2080,4.1924,4.1999
2019-01-20,4.2047,4.2047,4.1883,4.2032
2019-01-18,4.2053,4.2150,4.1869,4.1921
2019-01-17,4.1966,4.2082,4.1887,4.2024
2019-01-16,4.1961,4.2101,4.1828,4.1957
2019-01-15,4.1988,4.2069,4.1815,4.1959
2019-01-14,4.2110,4.2207,4.1841,4.1968
2019-01-13,4.2045,4.2111,4.1988,4.2109
2019-01-11,4.2183,4.2335,4.2032,4.2092
2019-01-10,4.2357,4.2468,4.2149,4.2186
2019-01-09,4.2292,4.2416,4.2078,4.2348
2019-01-08,4.2519,4.2554,4.2213,4.2291
2019-01-07,4.2225,4.2578,4.2071,4.2519
2019-01-06,4.2170,4.2314,4.2125,4.2167
2019-01-04,4.2430,4.2492,4.2157,4.2253
2019-01-03,4.2559,4.2692,4.2321,4.2428
2019-01-02,4.2857,4.3036,4.2379,4.2569
2019-01-01,4.2849,4.3282,4.2323,4.2863
2018-12-31,4.3032,4.3128,4.2611,4.2885
2018-12-30,4.3017,4.3051,4.2988,4.3004
2018-12-28,4.3098,4.3264,4.2977,4.3064
2018-12-27,4.2862,4.3183,4.2632,4.3100
2018-12-26,4.3144,4.3144,4.2728,4.2862
2018-12-25,4.3008,4.3116,4.2871,4.2971
2018-12-24,4.2797,4.3171,4.2728,4.2974
2018-12-23,4.2811,4.2921,4.2726,4.2798
2018-12-21,4.3109,4.3277,4.2743,4.2829
2018-12-20,4.2795,4.3265,4.2748,4.3089
2018-12-19,4.2748,4.2926,4.2676,4.2792
2018-12-18,4.2715,4.2872,4.2652,4.2751
2018-12-17,4.2515,4.2864,4.2506,4.2706
2018-12-16,4.2599,4.2655,4.2462,4.2518
2018-12-14,4.2764,4.2770,4.2485,4.2613
2018-12-13,4.2645,4.2801,4.2570,4.2769
2018-12-12,4.2459,4.2733,4.2386,4.2643
2018-12-11,4.2482,4.2759,4.2389,4.2461
2018-12-10,4.2518,4.2685,4.2410,4.2477
2018-12-09,4.2470,4.2519,4.2360,4.2479
2018-12-07,4.2495,4.2645,4.2404,4.2475
2018-12-06,4.2254,4.2680,4.2200,4.2494
2018-12-05,4.2380,4.2408,4.2143,4.2253
2018-12-04,4.2292,4.2642,4.2257,4.2373
2018-12-03,4.2127,4.2307,4.2029,4.2256
2018-12-02,4.2071,4.2301,4.2060,4.2118
2018-11-30,4.2212,4.2256,4.2014,4.2056
2018-11-29,4.2274,4.2375,4.2106,4.2194
2018-11-28,4.2181,4.2350,4.2020,4.2265
2018-11-27,4.2114,4.2249,4.2042,4.2180
2018-11-26,4.2328,4.2443,4.2050,4.2108
2018-11-25,4.2354,4.2430,4.2318,4.2324
2018-11-24,4.9036,4.9036,4.9036,4.9036
2018-11-23,4.2629,4.2673,4.2280,4.2347
2018-11-22,4.2456,4.2679,4.2383,4.2636
2018-11-21,4.2401,4.2657,4.2285,4.2412
2018-11-20,4.2395,4.2570,4.2343,4.2396
2018-11-19,4.2264,4.2486,4.2168,4.2395
2018-11-18,4.2177,4.2311,4.2176,4.2252
2018-11-16,4.1982,4.2297,4.1951,4.2266
2018-11-15,4.1738,4.2081,4.1600,4.1975
2018-11-14,4.1682,4.1882,4.1552,4.1736
2018-11-13,4.1433,4.1683,4.1415,4.1682
2018-11-12,4.1566,4.1693,4.1273,4.1430
2018-11-11,4.1617,4.1679,4.1534,4.1567
2018-11-09,4.1834,4.1900,4.1586,4.1634
2018-11-08,4.1889,4.1997,4.1721,4.1828
2018-11-07,4.2112,4.2281,4.1869,4.1892
2018-11-06,4.2098,4.2179,4.1970,4.2110
2018-11-05,4.2035,4.2146,4.1931,4.2092
2018-11-04,4.2012,4.2116,4.1926,4.2038
2018-11-02,4.2210,4.2284,4.1939,4.2026
2018-11-01,4.2009,4.2275,4.1994,4.2206
2018-10-31,4.2046,4.2300,4.1984,4.2008
2018-10-30,4.2151,4.2222,4.2019,4.2038
2018-10-29,4.2137,4.2303,4.2066,4.2148
2018-10-28,4.2119,4.2220,4.2075,4.2143
2018-10-26,4.2018,4.2191,4.1947,4.2110
2018-10-25,4.1996,4.2171,4.1967,4.2019
2018-10-24,4.2117,4.2140,4.1860,4.1998
2018-10-23,4.1970,4.2185,4.1924,4.2118
2018-10-22,4.2071,4.2151,4.1922,4.1950
2018-10-21,4.2113,4.2139,4.1995,4.1997
2018-10-19,4.1991,4.2146,4.1868,4.2104
2018-10-18,4.1951,4.2142,4.1914,4.1993
2018-10-17,4.2132,4.2235,4.1940,4.1974
2018-10-16,4.2244,4.2286,4.2097,4.2125
2018-10-15,4.1900,4.2276,4.1773,4.2246
2018-10-14,4.1869,4.1999,4.1842,4.1898
2018-10-12,4.2080,4.2156,4.1871,4.1876
2018-10-11,4.1831,4.2191,4.1806,4.2082
2018-10-10,4.1803,4.1898,4.1579,4.1824
2018-10-09,4.1861,4.1869,4.1550,4.1829
2018-10-08,4.1712,4.1902,4.1436,4.1862
2018-10-07,4.1589,4.1836,4.1589,4.1639
2018-10-05,4.1857,4.1912,4.1661,4.1773
2018-10-04,4.1776,4.1923,4.1667,4.1850
2018-10-03,4.2139,4.2268,4.1718,4.1774
2018-10-02,4.2092,4.2228,4.1948,4.2131
2018-10-01,4.2089,4.2293,4.2012,4.2089
2018-09-30,4.2193,4.2267,4.2031,4.2092
2018-09-28,4.1969,4.2273,4.1944,4.2218
2018-09-27,4.2049,4.2223,4.1950,4.1952
2018-09-26,4.2183,4.2233,4.2019,4.2052
2018-09-25,4.1991,4.2289,4.1948,4.2170
2018-09-24,4.1885,4.2169,4.1830,4.1990
2018-09-23,4.1941,4.2032,4.1756,4.1883
2018-09-21,4.2064,4.2145,4.1881,4.1948
2018-09-20,4.1847,4.2096,4.1770,4.2058
2018-09-19,4.1912,4.2026,4.1698,4.1842
2018-09-18,4.1810,4.1963,4.1661,4.1902
2018-09-17,4.1713,4.1947,4.1510,4.1704
2018-09-16,4.1288,4.1754,4.1288,4.1731
2018-09-14,4.1666,4.1789,4.1554,4.1605
2018-09-13,4.1547,4.1762,4.1476,4.1670
2018-09-12,4.1564,4.1649,4.1449,4.1544
2018-09-11,4.1530,4.1632,4.1399,4.1556
2018-09-10,4.1419,4.1609,4.1323,4.1531
2018-09-09,4.1543,4.1543,4.1349,4.1349
2018-09-07,4.1625,4.1726,4.1428,4.1499
2018-09-06,4.1870,4.1957,4.1598,4.1629
2018-09-05,4.1889,4.1983,4.1738,4.1862
2018-09-04,4.1960,4.1968,4.1757,4.1881
2018-09-03,4.1821,4.2008,4.1801,4.1959
2018-09-02,4.1835,4.1835,4.1819,4.1819
2018-08-31,4.2088,4.2191,4.1788,4.1837
2018-08-30,4.2245,4.2303,4.1989,4.2089
2018-08-29,4.2437,4.2536,4.2192,4.2232
2018-08-28,4.2370,4.2492,4.2323,4.2415
2018-08-27,4.2106,4.2407,4.2019,4.2367
2018-08-26,4.2076,4.2120,4.2040,4.2109
2018-08-24,4.2068,4.2225,4.1967,4.2048
2018-08-23,4.2055,4.2173,4.1928,4.2070
2018-08-22,4.2132,4.2231,4.1874,4.2053
2018-08-21,4.2000,4.2185,4.1915,4.2123
2018-08-20,4.1851,4.1997,4.1686,4.1950
2018-08-19,4.1845,4.1956,4.1799,4.1873
2018-08-17,4.1725,4.1886,4.1686,4.1865
2018-08-16,4.1788,4.1978,4.1706,4.1726
2018-08-15,4.1772,4.1831,4.1651,4.1789
2018-08-14,4.2123,4.2188,4.1717,4.1773
2018-08-13,4.2268,4.2400,4.2027,4.2118
2018-08-12,4.2295,4.2348,4.2166,4.2266
2018-08-10,4.2508,4.2574,4.2186,4.2396
2018-08-09,4.2689,4.2815,4.2506,4.2509
2018-08-08,4.2701,4.2779,4.2593,4.2688
2018-08-07,4.2799,4.2860,4.2615,4.2690
2018-08-06,4.2583,4.2823,4.2398,4.2800
2018-08-05,4.2697,4.2752,4.2576,4.2576
2018-08-03,4.2723,4.2916,4.2643,4.2663
2018-08-02,4.2851,4.2893,4.2707,4.2724
2018-08-01,4.2869,4.3053,4.2812,4.2840
2018-07-31,4.2859,4.3099,4.2793,4.2868
2018-07-30,4.2572,4.2941,4.2501,4.2844
2018-07-29,4.2501,4.2671,4.2501,4.2573
2018-07-27,4.2456,4.2730,4.2453,4.2563
2018-07-26,4.2608,4.2690,4.2446,4.2458
2018-07-25,4.2640,4.2740,4.2443,4.2597
2018-07-24,4.2611,4.2747,4.2522,4.2637
2018-07-23,4.2586,4.2694,4.2425,4.2612
2018-07-22,4.2509,4.2646,4.2455,4.2588
2018-07-20,4.2424,4.2591,4.2333,4.2512
2018-07-19,4.2314,4.2534,4.2227,4.2412
2018-07-18,4.2335,4.2425,4.2239,4.2311
2018-07-17,4.2436,4.2579,4.2284,4.2298
2018-07-16,4.2477,4.2733,4.2157,4.2428
2018-07-15,4.2460,4.2611,4.2419,4.2475
2018-07-13,4.2435,4.2550,4.2243,4.2511
2018-07-12,4.2599,4.2685,4.2386,4.2417
2018-07-11,4.2623,4.2773,4.2507,4.2577
2018-07-10,4.2625,4.2724,4.2538,4.2623
2018-07-09,4.2627,4.2699,4.2410,4.2628
2018-07-08,4.2534,4.2669,4.2492,4.2555
2018-07-06,4.2525,4.2639,4.2450,4.2556
2018-07-05,4.2552,4.2638,4.2385,4.2513
2018-07-04,4.2564,4.2642,4.2424,4.2542
2018-07-03,4.2681,4.2736,4.2442,4.2562
2018-07-02,4.2653,4.2754,4.2493,4.2680
2018-07-01,4.2355,4.2696,4.2355,4.2584
2018-06-29,4.2268,4.2745,4.2250,4.2724
2018-06-28,4.2185,4.2381,4.2050,4.2256
2018-06-27,4.2353,4.2542,4.2075,4.2162
2018-06-26,4.2345,4.2487,4.2188,4.2351
2018-06-25,4.2224,4.2401,4.1915,4.2328
2018-06-24,4.1919,4.2280,4.1919,4.2222
2018-06-22,4.2017,4.2201,4.1895,4.1997
2018-06-21,4.1889,4.2118,4.1691,4.2010
2018-06-20,4.2078,4.2108,4.1873,4.1884
2018-06-19,4.2300,4.2377,4.1980,4.2077
2018-06-18,4.1952,4.2320,4.1837,4.2278
2018-06-17,4.2188,4.2816,4.1920,4.1951
2018-06-15,4.1857,4.2305,4.1619,4.2073
2018-06-14,4.2303,4.2557,4.1793,4.1849
2018-06-13,4.2175,4.2404,4.2089,4.2304
2018-06-12,4.2026,4.2262,4.1811,4.2116
2018-06-11,4.2002,4.2242,4.1985,4.2023
2018-06-10,4.1979,4.2084,4.1899,4.2001
2018-06-08,4.2092,4.2187,4.1889,4.1990
2018-06-07,4.2069,4.2565,4.2025,4.2091
2018-06-06,4.1760,4.2087,4.1714,4.2059
2018-06-05,4.1670,4.1836,4.1590,4.1759
