timestamp,open,high,low,close
2019-06-11,9.7839,9.8318,9.7659,9.7776
2019-06-10,9.7529,9.7984,9.7521,9.7865
2019-06-09,9.7726,9.7726,9.7520,9.7540
2019-06-07,9.8050,9.8087,9.7606,9.7822
2019-06-06,9.8095,9.8309,9.7814,9.8050
2019-06-05,9.7830,9.8198,9.7691,9.8087
2019-06-04,9.7797,9.8006,9.7658,9.7827
2019-06-03,9.7891,9.8005,9.7473,9.7807
2019-06-02,9.7828,9.7914,9.7623,9.7896
2019-05-31,9.7560,9.8035,9.7494,9.7751
2019-05-30,9.7383,9.7730,9.7297,9.7561
2019-05-29,9.7318,9.7779,9.7271,9.7383
2019-05-28,9.7408,9.7506,9.7084,9.7358
2019-05-27,9.7400,9.7579,9.7280,9.7409
2019-05-26,9.7410,9.7505,9.7267,9.7406
2019-05-24,9.7881,9.7987,9.7199,9.7285
2019-05-23,9.7645,9.8036,9.7373,9.7890
2019-05-22,9.7761,9.7857,9.7491,9.7654
2019-05-21,9.8133,9.8188,9.7711,9.7761
2019-05-20,9.8103,9.8194,9.7780,9.8133
2019-05-19,9.8070,9.8219,9.7946,9.8107
2019-05-17,9.7781,9.8218,9.7732,9.8112
2019-05-16,9.7677,9.7816,9.7316,9.7794
2019-05-15,9.7945,9.8196,9.7572,9.7678
2019-05-14,9.8387,9.8459,9.7813,9.7977
2019-05-13,9.7995,9.8531,9.7861,9.8401
2019-05-12,9.7959,9.8312,9.7846,9.7995
2019-05-10,9.8554,9.8761,9.7783,9.8014
2019-05-09,9.8115,9.8673,9.7725,9.8553
2019-05-08,9.7889,9.8372,9.7764,9.8107
2019-05-07,9.7792,9.7977,9.7428,9.7877
2019-05-06,9.7784,9.8056,9.7581,9.7806
2019-05-05,9.7636,9.7839,9.7406,9.7782
2019-05-03,9.7792,9.8142,9.7320,9.7402
2019-05-02,9.7088,9.8016,9.7049,9.7802
2019-05-01,9.6803,9.7269,9.6679,9.7097
2019-04-30,9.6744,9.6968,9.6595,9.6811
2019-04-29,9.6816,9.6985,9.6702,9.6751
2019-04-28,9.6859,9.6983,9.6703,9.6816
2019-04-26,9.6518,9.6918,9.6447,9.6790
2019-04-25,9.6412,9.6957,9.6211,9.6518
2019-04-24,9.5945,9.6426,9.5915,9.6399
2019-04-23,9.5601,9.6225,9.5596,9.5945
2019-04-22,9.5770,9.5802,9.5526,9.5610
2019-04-21,9.5722,9.5855,9.5639,9.5782
2019-04-19,9.5642,9.5761,9.5503,9.5700
2019-04-18,9.5921,9.6317,9.5537,9.5624
2019-04-17,9.5837,9.6045,9.5579,9.5932
2019-04-16,9.6020,9.6109,9.5688,9.5837
2019-04-15,9.5906,9.6165,9.5886,9.6030
2019-04-14,9.5961,9.5977,9.5795,9.5925
2019-04-12,9.6042,9.6298,9.5868,9.5935
2019-04-11,9.5769,9.6203,9.5699,9.6051
2019-04-10,9.6379,9.6551,9.5700,9.5766
2019-04-09,9.6274,9.6471,9.6102,9.6390
2019-04-08,9.6538,9.6631,9.6124,9.6282
2019-04-07,9.6592,9.6649,9.6454,9.6540
2019-04-05,9.6476,9.6688,9.6433,9.6565
2019-04-04,9.6290,9.6527,9.6203,9.6476
