timestamp,open,high,low,close
2019-06-13,4.2574,4.2585,4.2518,4.2554
2019-06-12,4.2616,4.2627,4.2605,4.2618
2019-06-11,4.2599,4.2685,4.2577,4.2616
2019-06-10,4.2591,4.2656,4.2564,4.2599
2019-06-09,4.2565,4.2612,4.2551,4.2585
2019-06-07,4.2724,4.2770,4.2547,4.2599
2019-06-06,4.2748,4.2801,4.2695,4.2713
2019-06-05,4.2763,4.2805,4.2709,4.2748
2019-06-04,4.2783,4.2846,4.2734,4.2763
2019-06-03,4.2807,4.2851,4.2752,4.2780
2019-06-02,4.2796,4.2836,4.2792,4.2803
2019-05-31,4.2889,4.2935,4.2774,4.2814
2019-05-30,4.2928,4.2962,4.2830,4.2889
2019-05-29,4.2955,4.3038,4.2907,4.2929
2019-05-28,4.2886,4.2975,4.2864,4.2955
2019-05-27,4.2919,4.2962,4.2868,4.2886
2019-05-26,4.2922,4.2936,4.2879,4.2919
2019-05-24,4.3025,4.3060,4.2850,4.2901
2019-05-23,4.3037,4.3110,4.2988,4.3025
2019-05-22,4.3049,4.3112,4.3008,4.3036
2019-05-21,4.2959,4.3099,4.2933,4.3049
2019-05-20,4.3042,4.3059,4.2938,4.2959
2019-05-19,4.3015,4.3068,4.3000,4.3038
2019-05-17,4.3009,4.3088,4.2975,4.3065
2019-05-16,4.2987,4.3030,4.2887,4.3017
2019-05-15,4.3081,4.3139,4.2970,4.2987
2019-05-14,4.3030,4.3110,4.3002,4.3067
2019-05-13,4.2974,4.3084,4.2944,4.3030
2019-05-12,4.2851,4.2999,4.2851,4.2983
2019-05-10,4.2976,4.3006,4.2889,4.2983
2019-05-09,4.2919,4.3025,4.2888,4.2975
2019-05-08,4.2893,4.2948,4.2863,4.2921
2019-05-07,4.2841,4.2923,4.2794,4.2892
2019-05-06,4.2814,4.2861,4.2770,4.2843
2019-05-05,4.2815,4.2868,4.2750,4.2813
2019-05-03,4.2864,4.2893,4.2703,4.2734
2019-05-02,4.2833,4.2880,4.2757,4.2864
2019-05-01,4.2849,4.2885,4.2764,4.2837
2019-04-30,4.2924,4.2970,4.2813,4.2853
2019-04-29,4.2956,4.2975,4.2882,4.2924
2019-04-28,4.2916,4.2980,4.2898,4.2961
2019-04-26,4.2910,4.3041,4.2839,4.3041
2019-04-25,4.2959,4.2997,4.2876,4.2908
2019-04-24,4.2854,4.2970,4.2793,4.2959
2019-04-23,4.2829,4.2900,4.2795,4.2851
2019-04-22,4.2779,4.2856,4.2750,4.2829
2019-04-21,4.2818,4.2819,4.2736,4.2779
2019-04-19,4.2772,4.2821,4.2725,4.2815
2019-04-18,4.2695,4.2826,4.2676,4.2774
2019-04-17,4.2724,4.2780,4.2672,4.2700
2019-04-16,4.2743,4.2803,4.2698,4.2724
