Date,Open,High,Low,Close,Adjusted_close,Volume
2004-01-02,0.2761,0.2761,0.2761,0.2761,0.2761,0
2004-01-05,0.2774,0.2774,0.2774,0.2774,0.2774,0
2004-01-06,0.2743,0.2743,0.2743,0.2743,0.2743,0
2004-01-07,0.2767,0.2767,0.2767,0.2767,0.2767,0
2004-01-08,0.2753,0.2753,0.2753,0.2753,0.2753,0
2004-01-09,0.2751,0.2751,0.2751,0.2751,0.2751,0
2004-01-12,0.2822,0.2822,0.2822,0.2822,0.2822,0
2004-01-13,0.2783,0.2783,0.2783,0.2783,0.2783,0
2004-01-14,0.281,0.281,0.281,0.281,0.281,0
2004-01-15,0.2825,0.2825,0.2825,0.2825,0.2825,0
2004-01-16,0.2854,0.2854,0.2854,0.2854,0.2854,0
2004-01-19,0.2852,0.2852,0.2852,0.2852,0.2852,0
2004-01-20,0.2802,0.2802,0.2802,0.2802,0.2802,0
2004-01-21,0.2789,0.2789,0.2789,0.2789,0.2789,0
2004-01-22,0.2772,0.2772,0.2772,0.2772,0.2772,0
2004-01-23,0.2796,0.2796,0.2796,0.2796,0.2796,0
2004-01-26,0.281,0.281,0.281,0.281,0.281,0
2004-01-27,0.2759,0.2759,0.2759,0.2759,0.2759,0
2004-01-28,0.2756,0.2756,0.2756,0.2756,0.2756,0
2004-01-29,0.2749,0.2749,0.2749,0.2749,0.2749,0
2004-01-30,0.2733,0.2733,0.2733,0.2733,0.2733,0
2004-02-02,0.2735,0.2735,0.2735,0.2735,0.2735,0
2004-02-03,0.2736,0.2736,0.2736,0.2736,0.2736,0
2004-02-04,0.2734,0.2734,0.2734,0.2734,0.2734,0
2004-02-05,0.2721,0.2721,0.2721,0.2721,0.2721,0
2004-02-06,0.2686,0.2686,0.2686,0.2686,0.2686,0
2004-02-09,0.2694,0.2694,0.2694,0.2694,0.2694,0
2004-02-10,0.2698,0.2698,0.2698,0.2698,0.2698,0
2004-02-11,0.2682,0.2682,0.2682,0.2682,0.2682,0
2004-02-12,0.2698,0.2698,0.2698,0.2698,0.2698,0
2004-02-13,0.2703,0.2703,0.2703,0.2703,0.2703,0
2004-02-16,0.2693,0.2693,0.2693,0.2693,0.2693,0
2004-02-17,0.2671,0.2671,0.2671,0.2671,0.2671,0
2004-02-18,0.2675,0.2675,0.2675,0.2675,0.2675,0
2004-02-19,0.2661,0.2661,0.2661,0.2661,0.2661,0
2004-02-20,0.2696,0.2696,0.2696,0.2696,0.2696,0
2004-02-23,0.2691,0.2691,0.2691,0.2691,0.2691,0
2004-02-24,0.2663,0.2663,0.2663,0.2663,0.2663,0
2004-02-25,0.2723,0.2723,0.2723,0.2723,0.2723,0
2004-02-26,0.2743,0.2743,0.2743,0.2743,0.2743,0
2004-02-27,0.2756,0.2756,0.2756,0.2756,0.2756,0
2004-03-01,0.2777,0.2777,0.2777,0.2777,0.2777,0
2004-03-02,0.283,0.283,0.283,0.283,0.283,0
2004-03-03,0.2838,0.2838,0.2838,0.2838,0.2838,0
2004-03-04,0.2838,0.2838,0.2838,0.2838,0.2838,0
2004-03-05,0.2818,0.2818,0.2818,0.2818,0.2818,0
2004-03-08,0.2806,0.2806,0.2806,0.2806,0.2806,0
2004-03-09,0.2818,0.2818,0.2818,0.2818,0.2818,0
2004-03-10,0.2817,0.2817,0.2817,0.2817,0.2817,0
2004-03-11,0.2782,0.2782,0.2782,0.2782,0.2782,0
2004-03-12,0.2823,0.2823,0.2823,0.2823,0.2823,0
2004-03-15,0.2828,0.2828,0.2794,0.2808,0.2808,0
2004-03-16,0.2807,0.2819,0.2777,0.2813,0.2813,0
2004-03-17,0.281,0.2823,0.2798,0.2808,0.2808,0
2004-03-18,0.2808,0.281,0.2753,0.2779,0.2779,0
