Date,Open,High,Low,Close,Adjusted_close,Volume
2019-07-08,0.6816,0.6819,0.6809,0.6813,0.6813,0
2019-07-07,0.6816,0.6818,0.6809,0.681,0.681,0
2019-07-05,0.6787,0.6816,0.6776,0.6811,0.6811,0
2019-07-04,0.679,0.6799,0.6771,0.679,0.679,0
2019-07-03,0.6758,0.6791,0.6752,0.6791,0.6791,0
2019-07-02,0.6744,0.6762,0.6729,0.6762,0.6762,0
2019-07-01,0.6718,0.6748,0.6714,0.6747,0.6747,0
2019-06-30,0.6718,0.6738,0.6718,0.6724,0.6724,0
2019-06-28,0.6716,0.6728,0.67,0.6718,0.6718,0
2019-06-27,0.6698,0.6717,0.6688,0.6717,0.6717,0
2019-06-26,0.6679,0.6708,0.6671,0.67,0.67,0
2019-06-25,0.6655,0.6683,0.6642,0.6682,0.6682,0
2019-06-24,0.6654,0.6664,0.6641,0.6656,0.6656,0
2019-06-23,0.6654,0.6656,0.665,0.6654,0.6654,0
2019-06-21,0.6711,0.6721,0.6647,0.6653,0.6653,0
2019-06-20,0.6706,0.6728,0.6694,0.6714,0.6714,0
2019-06-19,0.6677,0.6708,0.6664,0.6708,0.6708,0
2019-06-18,0.6644,0.668,0.6627,0.6679,0.6679,0
2019-06-17,0.6652,0.6658,0.663,0.6647,0.6647,0
2019-06-16,0.6652,0.6658,0.6646,0.6646,0.6646,0
2019-06-14,0.6649,0.6672,0.6638,0.6651,0.6651,0
2019-06-13,0.6638,0.6662,0.6634,0.6655,0.6655,0
2019-06-12,0.6646,0.6656,0.6626,0.6639,0.6639,0
2019-06-11,0.6658,0.6673,0.6636,0.6645,0.6645,0
2019-06-10,0.6658,0.6682,0.6651,0.6662,0.6662,0
2019-06-09,0.6658,0.6682,0.6656,0.6656,0.6656,0
2019-06-07,0.6636,0.6665,0.6627,0.6651,0.6651,0
2019-06-06,0.6642,0.6646,0.6598,0.6637,0.6637,0
2019-06-05,0.6635,0.6644,0.6608,0.6644,0.6644,0
2019-06-04,0.6619,0.6637,0.6602,0.6637,0.6637,0
2019-06-03,0.6625,0.6633,0.66,0.6621,0.6621,0
2019-06-02,0.6625,0.663,0.6617,0.6618,0.6618,0
2019-05-31,0.665,0.6657,0.6608,0.6618,0.6618,0
2019-05-30,0.6642,0.6668,0.6636,0.6655,0.6655,0
2019-05-29,0.664,0.6652,0.6624,0.6645,0.6645,0
2019-05-28,0.6641,0.6657,0.6627,0.6641,0.6641,0
2019-05-27,0.6646,0.6653,0.6631,0.6643,0.6643,0
2019-05-26,0.6646,0.6653,0.6636,0.6639,0.6639,0
2019-05-24,0.6636,0.6649,0.6621,0.6642,0.6642,0
2019-05-23,0.6675,0.6675,0.6627,0.6638,0.6638,0
2019-05-22,0.6677,0.67,0.6667,0.6676,0.6676,0
2019-05-21,0.6664,0.6691,0.666,0.6683,0.6683,0
2019-05-20,0.6656,0.6678,0.665,0.6668,0.6668,0
2019-05-19,0.6656,0.6668,0.6654,0.6663,0.6663,0
2019-05-17,0.6647,0.6667,0.662,0.6659,0.6659,0
2019-05-16,0.6641,0.6669,0.6632,0.665,0.665,0
2019-05-15,0.6623,0.6646,0.6613,0.6644,0.6644,0
2019-05-14,0.6609,0.6631,0.6599,0.6626,0.6626,0
2019-05-13,0.6627,0.6634,0.6599,0.6611,0.6611,0
2019-05-12,0.6627,0.6634,0.6619,0.6619,0.6619,0
2019-05-10,0.6613,0.6647,0.6601,0.6637,0.6637,0
2019-05-09,0.6627,0.6635,0.6584,0.6615,0.6615,0
2019-05-08,0.663,0.664,0.6617,0.6629,0.6629,0
2019-05-07,0.6638,0.6655,0.6623,0.6632,0.6632,0
2019-05-06,0.6643,0.6657,0.6619,0.664,0.664,0
2019-05-05,0.6643,0.6657,0.663,0.663,0.663,0
2019-05-03,0.6636,0.6673,0.6634,0.6652,0.6652,0
2019-05-02,0.6638,0.6652,0.6627,0.6639,0.6639,0
2019-05-01,0.666,0.6664,0.6619,0.6644,0.6644,0
2019-04-30,0.6641,0.6662,0.6614,0.6662,0.6662,0
2019-04-29,0.6663,0.6669,0.6638,0.6643,0.6643,0
