Date,Open,High,Low,Close,Adjusted_close,Volume
1999-12-31,4.1461,4.1527,4.1452,4.1486,4.1486,0
2000-01-03,4.1483,4.1526,4.1002,4.1055,4.1055,0
2000-01-04,4.1032,4.1433,4.1002,4.1433,4.1433,0
2000-01-05,4.1398,4.1728,4.1366,4.1578,4.1578,0
2000-01-06,4.1481,4.1597,4.1395,4.1583,4.1583,0
2000-01-07,4.1499,4.1587,4.13,4.1445,4.1445,0
2000-01-10,4.1411,4.1417,4.106,4.1132,4.1132,0
2000-01-11,4.1079,4.113,4.095,4.1049,4.1049,0
2000-01-12,4.105,4.13,4.0979,4.1185,4.1185,0
2000-01-13,4.1138,4.1209,4.105,4.1172,4.1172,0
2000-01-14,4.1116,4.1192,4.095,4.1192,4.1192,0
2000-01-17,4.1159,4.1162,4.0755,4.085,4.085,0
2000-01-18,4.08,4.0855,4.052,4.0688,4.0688,0
2000-01-19,4.0654,4.0947,4.0627,4.0858,4.0858,0
2000-01-20,4.08,4.0917,4.0778,4.0841,4.0841,0
2000-01-21,4.08,4.1048,4.0766,4.1019,4.1019,0
2000-01-24,4.1071,4.108,4.0707,4.0766,4.0766,0
2000-01-25,4.0737,4.1025,4.0692,4.1017,4.1017,0
2000-01-26,4.0961,4.0965,4.0735,4.0887,4.0887,0
2000-01-27,4.0831,4.0919,4.074,4.083,4.083,0
2000-01-28,4.0794,4.095,4.064,4.095,4.095,0
2000-01-31,4.0855,4.0981,4.076,4.098,4.098,0
2000-02-01,4.0932,4.0956,4.0643,4.0774,4.0774,0
2000-02-02,4.0705,4.0787,4.056,4.0641,4.0641,0
2000-02-03,4.0601,4.0646,4.0363,4.052,4.052,0
2000-02-04,4.0474,4.0644,4.0388,4.061,4.061,0
2000-02-07,4.0562,4.0734,4.051,4.0664,4.0664,0
2000-02-08,4.0618,4.0773,4.0575,4.0685,4.0685,0
2000-02-09,4.0645,4.0677,4.0542,4.0631,4.0631,0
2000-02-10,4.0544,4.0726,4.0524,4.067,4.067,0
2000-02-11,4.0646,4.0705,4.0502,4.0576,4.0576,0
2000-02-14,4.0546,4.0644,4.0371,4.062,4.062,0
2000-02-15,4.0583,4.0586,4.0395,4.0531,4.0531,0
2000-02-16,4.0446,4.0495,4.0323,4.0384,4.0384,0
2000-02-17,4.0361,4.0507,4.0302,4.0439,4.0439,0
2000-02-18,4.0397,4.0506,4.0378,4.0493,4.0493,0
2000-02-21,4.0464,4.0567,4.0423,4.0533,4.0533,0
2000-02-22,4.0492,4.0559,4.0346,4.0559,4.0559,0
2000-02-23,4.0521,4.0549,4.04,4.047,4.047,0
2000-02-24,4.0425,4.0521,4.0312,4.0439,4.0439,0
2000-02-25,4.0403,4.0541,4.0294,4.0457,4.0457,0
2000-02-28,4.0417,4.0668,4.0281,4.04,4.04,0
2000-02-29,4.0362,4.0451,4.0195,4.0446,4.0446,0
2000-03-01,4.0403,4.0427,4.0195,4.0285,4.0285,0
2000-03-02,4.0245,4.0327,4.0148,4.0327,4.0327,0
2000-03-03,4.0273,4.0301,4.0121,4.029,4.029,0
2000-03-06,4.0269,4.0277,3.992,4.0013,4.0013,0
2000-03-07,3.9967,4.0085,3.9893,3.999,3.999,0
2000-03-08,3.9949,4.0151,3.994,4.0029,4.0029,0
2000-03-09,3.9977,4.008,3.9755,3.9871,3.9871,0
2000-03-10,3.9819,3.9821,3.9588,3.977,3.977,0
2000-03-13,3.964,4.001,3.9392,4.001,4.001,0
2000-03-14,3.9972,3.9995,3.9477,3.9551,3.9551,0
2000-03-15,3.956,3.9906,3.95,3.9906,3.9906,0
2000-03-16,3.9861,3.9881,3.9647,3.9815,3.9815,0
2000-03-17,3.978,3.9801,3.9567,3.9618,3.9618,0
2000-03-20,3.9567,3.9845,3.9567,3.9826,3.9826,0
2000-03-21,3.9774,3.9907,3.9773,3.9907,3.9907,0
2000-03-22,3.9877,4.0177,3.977,4.0095,4.0095,0
2000-03-23,4.0051,4.076,4.002,4.073,4.073,0
2000-03-24,4.0681,4.085,4.0373,4.0425,4.0425,0
2000-03-27,4.0375,4.065,4.011,4.0324,4.0324,0
2000-03-28,4.0272,4.0285,3.9832,4.0057,4.0057,0
2000-03-29,4.001,4.0287,3.994,4.0175,4.0175,0
2000-03-30,4.0129,4.046,4.0094,4.0335,4.0335,0
2000-03-31,4.0285,4.0659,4.005,4.0173,4.0173,0
2000-04-03,4.0139,4.0555,4.0124,4.0552,4.0552,0
2000-04-04,4.0517,4.073,4.0212,4.056,4.056,0
2000-04-05,4.0505,4.065,4.018,4.0442,4.0442,0
2000-04-06,4.041,4.041,4.019,4.0381,4.0381,0
2000-04-07,4.0331,4.0364,4.023,4.0354,4.0354,0
2000-04-10,4.0314,4.0378,4.015,4.0242,4.0242,0
2000-04-11,4.0198,4.0466,4.0194,4.0466,4.0466,0
2000-04-12,4.0419,4.045,4.027,4.0349,4.0349,0
2000-04-13,4.0301,4.0484,4.024,4.0364,4.0364,0
2000-04-14,4.0314,4.0363,4.0234,4.0284,4.0284,0
2000-04-17,4.0207,4.085,4.0181,4.0765,4.0765,0
2000-04-18,4.0711,4.0738,4.0402,4.0599,4.0599,0
2000-04-19,4.0552,4.0582,4.0392,4.0581,4.0581,0
2000-04-20,4.0531,4.063,4.0508,4.063,4.063,0
2000-04-21,4.0574,4.0577,4.0339,4.041,4.041,0
2000-04-24,4.046,4.046,4.02,4.035,4.035,0
2000-04-25,4.034,4.0487,4.015,4.0487,4.0487,0
2000-04-26,4.043,4.0532,4.043,4.0532,4.0532,0
2000-04-27,4.0474,4.0509,4.0203,4.0509,4.0509,0
2000-04-28,4.045,4.0454,4.025,4.0391,4.0391,0
2000-05-01,4.0332,4.072,4.0329,4.0602,4.0602,0
2000-05-02,4.0553,4.0882,4.0534,4.0867,4.0867,0
2000-05-03,4.0817,4.0923,4.076,4.0831,4.0831,0
2000-05-04,4.0783,4.0952,4.0638,4.09,4.09,0
2000-05-05,4.088,4.114,4.086,4.114,4.114,0
2000-05-08,4.108,4.1195,4.0951,4.1188,4.1188,0
2000-05-09,4.115,4.1256,4.1143,4.1202,4.1202,0
2000-05-10,4.1134,4.1257,4.1128,4.1257,4.1257,0
2000-05-11,4.1238,4.1579,4.1228,4.1555,4.1555,0
2000-05-12,4.1499,4.1573,4.1269,4.1323,4.1323,0
2000-05-15,4.14,4.1481,4.1192,4.1481,4.1481,0
2000-05-16,4.1438,4.1474,4.129,4.1459,4.1459,0
2000-05-17,4.1403,4.1466,4.127,4.1445,4.1445,0
2000-05-18,4.1397,4.16,4.1375,4.1558,4.1558,0
2000-05-19,4.153,4.1661,4.1518,4.1636,4.1636,0
2000-05-22,4.1588,4.1991,4.1588,4.1991,4.1991,0
2000-05-23,4.1938,4.2281,4.1834,4.2265,4.2265,0
2000-05-24,4.2215,4.237,4.1797,4.2094,4.2094,0
2000-05-25,4.204,4.2042,4.151,4.1637,4.1637,0
2000-05-26,4.1575,4.171,4.1539,4.1593,4.1593,0
2000-05-29,4.16,4.1648,4.1456,4.16,4.16,0
2000-05-30,4.1544,4.175,4.15,4.175,4.175,0
2000-05-31,4.1703,4.173,4.145,4.1654,4.1654,0
2000-06-01,4.1609,4.166,4.1387,4.159,4.159,0
2000-06-02,4.1531,4.1554,4.1223,4.1279,4.1279,0
2000-06-05,4.1204,4.1308,4.1156,4.1215,4.1215,0
2000-06-06,4.1173,4.1315,4.1152,4.1293,4.1293,0
2000-06-07,4.1247,4.152,4.1227,4.1477,4.1477,0
2000-06-08,4.1426,4.1469,4.1229,4.1431,4.1431,0
2000-06-09,4.1383,4.1481,4.1375,4.1481,4.1481,0
2000-06-12,4.1421,4.1431,4.093,4.1034,4.1034,0
2000-06-13,4.0978,4.1098,4.0866,4.1098,4.1098,0
2000-06-14,4.1048,4.1095,4.093,4.1041,4.1041,0
2000-06-15,4.0995,4.0997,4.0818,4.0967,4.0967,0
2000-06-16,4.0925,4.0955,4.085,4.09,4.09,0
2000-06-19,4.082,4.0867,4.064,4.0859,4.0859,0
2000-06-20,4.083,4.1024,4.08,4.1024,4.1024,0
2000-06-21,4.097,4.1056,4.0897,4.1056,4.1056,0
2000-06-22,4.1005,4.1011,4.0799,4.0895,4.0895,0
2000-06-23,4.089,4.0923,4.076,4.0923,4.0923,0
2000-06-26,4.086,4.0951,4.076,4.084,4.084,0
2000-06-27,4.08,4.0899,4.07,4.0899,4.0899,0
2000-06-28,4.0804,4.0925,4.079,4.0925,4.0925,0
2000-06-29,4.088,4.088,4.0709,4.088,4.088,0
2000-06-30,4.085,4.088,4.076,4.083,4.083,0
2000-07-03,4.076,4.077,4.0598,4.067,4.067,0
2000-07-04,4.0625,4.0777,4.055,4.0725,4.0725,0
2000-07-05,4.07,4.075,4.0637,4.075,4.075,0
2000-07-06,4.069,4.086,4.0654,4.086,4.086,0
2000-07-07,4.083,4.09,4.08,4.086,4.086,0
2000-07-10,4.0914,4.1146,4.0914,4.107,4.107,0
2000-07-11,4.101,4.102,4.088,4.097,4.097,0
2000-07-12,4.0915,4.092,4.0757,4.087,4.087,0
2000-07-13,4.082,4.09,4.0753,4.09,4.09,0
2000-07-14,4.087,4.1015,4.0833,4.1015,4.1015,0
2000-07-17,4.093,4.098,4.0829,4.095,4.095,0
2000-07-18,4.0885,4.0962,4.0839,4.092,4.092,0
2000-07-19,4.088,4.1035,4.08,4.102,4.102,0
2000-07-20,4.0995,4.106,4.0896,4.1055,4.1055,0
2000-07-21,4.1015,4.1054,4.087,4.095,4.095,0
