Date,Open,High,Low,Close,Adjusted_close,Volume
1999-12-31,0.2384,0.2406,0.2377,0.24,0.24,0
2000-01-03,0.2401,0.241,0.2346,0.2356,0.2356,0
2000-01-04,0.2352,0.2379,0.2343,0.2355,0.2355,0
2000-01-05,0.2356,0.2358,0.2273,0.2347,0.2347,0
2000-01-06,0.2341,0.2382,0.2327,0.2373,0.2373,0
2000-01-07,0.2369,0.2391,0.2366,0.2385,0.2385,0
2000-01-10,0.2381,0.2408,0.2374,0.2397,0.2397,0
2000-01-11,0.2395,0.2402,0.2373,0.238,0.238,0
2000-01-12,0.238,0.2394,0.2321,0.2386,0.2386,0
2000-01-13,0.2383,0.2402,0.2381,0.2398,0.2398,0
2000-01-14,0.2394,0.2425,0.2341,0.2424,0.2424,0
2000-01-17,0.242,0.243,0.2413,0.2424,0.2424,0
2000-01-18,0.2421,0.244,0.2411,0.2415,0.2415,0
2000-01-19,0.2411,0.2429,0.2364,0.2421,0.2421,0
2000-01-20,0.2416,0.2433,0.2405,0.241,0.241,0
2000-01-21,0.2409,0.2436,0.2403,0.2432,0.2432,0
2000-01-24,0.2445,0.2447,0.242,0.2423,0.2423,0
2000-01-25,0.2422,0.2458,0.2399,0.2418,0.2418,0
2000-01-26,0.2413,0.2428,0.2403,0.2421,0.2421,0
2000-01-27,0.2417,0.2436,0.241,0.2433,0.2433,0
2000-01-28,0.2431,0.2452,0.2426,0.2442,0.2442,0
2000-01-31,0.2433,0.2471,0.2414,0.2451,0.2451,0
2000-02-01,0.2447,0.246,0.2412,0.2422,0.2422,0
2000-02-02,0.2421,0.2433,0.2405,0.2423,0.2423,0
2000-02-03,0.2421,0.2451,0.2403,0.2418,0.2418,0
2000-02-04,0.2414,0.2454,0.2402,0.2433,0.2433,0
2000-02-07,0.2429,0.2449,0.2429,0.2437,0.2437,0
2000-02-08,0.2435,0.2481,0.2424,0.2452,0.2452,0
2000-02-09,0.2449,0.2472,0.2427,0.2431,0.2431,0
2000-02-10,0.2425,0.245,0.2415,0.2447,0.2447,0
2000-02-11,0.2445,0.2458,0.2432,0.2438,0.2438,0
2000-02-14,0.2435,0.2461,0.2426,0.2461,0.2461,0
2000-02-15,0.2459,0.2464,0.2446,0.246,0.246,0
2000-02-16,0.2458,0.2468,0.2418,0.2452,0.2452,0
2000-02-17,0.2451,0.2474,0.2439,0.2463,0.2463,0
2000-02-18,0.2461,0.2511,0.2454,0.2465,0.2465,0
2000-02-21,0.2468,0.2475,0.2446,0.2468,0.2468,0
2000-02-22,0.241,0.2473,0.241,0.2434,0.2434,0
2000-02-23,0.2435,0.2449,0.2421,0.2446,0.2446,0
2000-02-24,0.2443,0.247,0.2441,0.246,0.246,0
2000-02-25,0.2459,0.2477,0.2446,0.2474,0.2474,0
2000-02-28,0.2468,0.2559,0.2459,0.2466,0.2466,0
2000-02-29,0.2465,0.2493,0.2432,0.249,0.249,0
2000-03-01,0.2485,0.2508,0.2467,0.25,0.25,0
2000-03-02,0.2497,0.2514,0.2482,0.2511,0.2511,0
2000-03-03,0.2507,0.2531,0.2495,0.253,0.253,0
2000-03-06,0.2534,0.2538,0.2517,0.2531,0.2531,0
2000-03-07,0.2529,0.2534,0.2512,0.2516,0.2516,0
2000-03-08,0.2515,0.2536,0.2504,0.2513,0.2513,0
2000-03-09,0.2509,0.2532,0.25,0.2532,0.2532,0
2000-03-10,0.2529,0.254,0.2518,0.2534,0.2534,0
2000-03-13,0.2533,0.2536,0.2503,0.2527,0.2527,0
2000-03-14,0.2529,0.2546,0.252,0.2524,0.2524,0
2000-03-15,0.2522,0.2537,0.2516,0.2528,0.2528,0
2000-03-16,0.2528,0.2541,0.2516,0.2526,0.2526,0
2000-03-17,0.2529,0.2541,0.2521,0.2525,0.2525,0
2000-03-20,0.2521,0.2548,0.252,0.2536,0.2536,0
2000-03-21,0.2533,0.256,0.2531,0.256,0.256,0
2000-03-22,0.2565,0.2574,0.2555,0.2567,0.2567,0
2000-03-23,0.2566,0.2569,0.2537,0.2544,0.2544,0
2000-03-24,0.254,0.256,0.2528,0.2538,0.2538,0
2000-03-27,0.2542,0.2573,0.2533,0.2566,0.2566,0
2000-03-28,0.2563,0.2569,0.2547,0.2568,0.2568,0
2000-03-29,0.2568,0.2584,0.2547,0.2567,0.2567,0
2000-03-30,0.2564,0.2564,0.2512,0.2519,0.2519,0
2000-03-31,0.2515,0.2533,0.251,0.2533,0.2533,0
2000-04-03,0.253,0.255,0.2504,0.2522,0.2522,0
2000-04-04,0.2523,0.2524,0.244,0.248,0.248,0
2000-04-05,0.2475,0.2493,0.2441,0.2473,0.2473,0
2000-04-06,0.2473,0.2508,0.2465,0.2501,0.2501,0
2000-04-07,0.2498,0.2526,0.2493,0.2524,0.2524,0
2000-04-10,0.2523,0.2528,0.2507,0.2509,0.2509,0
2000-04-11,0.2508,0.2545,0.249,0.2542,0.2542,0
2000-04-12,0.2539,0.2563,0.247,0.2514,0.2514,0
2000-04-13,0.2509,0.2541,0.2478,0.2515,0.2515,0
2000-04-14,0.2512,0.2516,0.2444,0.2448,0.2448,0
2000-04-17,0.2439,0.2474,0.2365,0.2463,0.2463,0
2000-04-18,0.2476,0.2498,0.2454,0.2479,0.2479,0
2000-04-19,0.2477,0.2491,0.2419,0.248,0.248,0
2000-04-20,0.2478,0.2489,0.2427,0.2484,0.2484,0
2000-04-21,0.2481,0.2488,0.2472,0.2483,0.2483,0
2000-04-24,0.2481,0.2484,0.2463,0.2482,0.2482,0
2000-04-25,0.248,0.253,0.2468,0.252,0.252,0
2000-04-26,0.2517,0.2537,0.2498,0.2518,0.2518,0
2000-04-27,0.2514,0.2638,0.2492,0.2504,0.2504,0
2000-04-28,0.2498,0.2541,0.2432,0.2452,0.2452,0
2000-05-01,0.2449,0.2463,0.2434,0.2442,0.2442,0
2000-05-02,0.244,0.2465,0.2433,0.245,0.245,0
2000-05-03,0.2447,0.2506,0.2445,0.2489,0.2489,0
2000-05-04,0.2486,0.2528,0.2435,0.2454,0.2454,0
2000-05-05,0.245,0.2451,0.234,0.2409,0.2409,0
2000-05-08,0.2391,0.2509,0.2369,0.2493,0.2493,0
2000-05-09,0.2491,0.2496,0.2452,0.2457,0.2457,0
2000-05-10,0.245,0.2513,0.245,0.2492,0.2492,0
2000-05-11,0.2497,0.2504,0.2434,0.2487,0.2487,0
2000-05-12,0.2483,0.2509,0.2421,0.2426,0.2426,0
2000-05-15,0.2428,0.2514,0.2423,0.2514,0.2514,0
2000-05-16,0.2522,0.2523,0.2479,0.2503,0.2503,0
2000-05-17,0.2499,0.2549,0.2469,0.2482,0.2482,0
2000-05-18,0.248,0.2501,0.244,0.2493,0.2493,0
2000-05-19,0.2488,0.2524,0.244,0.2468,0.2468,0
2000-05-22,0.246,0.248,0.2428,0.2452,0.2452,0
2000-05-23,0.2448,0.2453,0.2371,0.2441,0.2441,0
2000-05-24,0.2439,0.2463,0.2428,0.2463,0.2463,0
2000-05-25,0.246,0.2464,0.2411,0.2417,0.2417,0
2000-05-26,0.2412,0.2427,0.2354,0.2384,0.2384,0
2000-05-29,0.2374,0.2402,0.2353,0.2392,0.2392,0
2000-05-30,0.2387,0.2422,0.2374,0.2422,0.2422,0
2000-05-31,0.2419,0.2458,0.2391,0.2426,0.2426,0
2000-06-01,0.2425,0.2466,0.2421,0.2452,0.2452,0
2000-06-02,0.2447,0.2453,0.2417,0.244,0.244,0
2000-06-05,0.2437,0.2464,0.2437,0.2458,0.2458,0
2000-06-06,0.2457,0.2461,0.2385,0.2407,0.2407,0
2000-06-07,0.2406,0.2417,0.2391,0.2398,0.2398,0
2000-06-08,0.2394,0.2404,0.2347,0.2378,0.2378,0
2000-06-09,0.2378,0.2392,0.2319,0.2371,0.2371,0
2000-06-12,0.2368,0.2406,0.2368,0.2384,0.2384,0
2000-06-13,0.2382,0.2386,0.2345,0.2361,0.2361,0
2000-06-14,0.236,0.237,0.2272,0.2368,0.2368,0
2000-06-15,0.2365,0.2436,0.2357,0.2388,0.2388,0
2000-06-16,0.2385,0.2397,0.2338,0.2346,0.2346,0
2000-06-19,0.2346,0.2377,0.2336,0.2377,0.2377,0
2000-06-20,0.2375,0.2387,0.2363,0.2387,0.2387,0
2000-06-21,0.2384,0.2406,0.2371,0.2405,0.2405,0
2000-06-22,0.24,0.2427,0.2393,0.2426,0.2426,0
2000-06-23,0.2424,0.2425,0.2384,0.241,0.241,0
2000-06-26,0.2406,0.2409,0.2389,0.2402,0.2402,0
2000-06-27,0.2399,0.2423,0.2383,0.2407,0.2407,0
2000-06-28,0.2405,0.2417,0.239,0.2412,0.2412,0
2000-06-29,0.2409,0.2414,0.2343,0.2395,0.2395,0
2000-06-30,0.2394,0.2411,0.2327,0.2411,0.2411,0
2000-07-03,0.2408,0.2443,0.2398,0.2443,0.2443,0
2000-07-04,0.2439,0.2457,0.2425,0.2432,0.2432,0
2000-07-05,0.2426,0.2452,0.241,0.2434,0.2434,0
2000-07-06,0.243,0.2434,0.2378,0.2433,0.2433,0
2000-07-07,0.2429,0.245,0.2424,0.244,0.244,0
2000-07-10,0.2437,0.2451,0.242,0.2444,0.2444,0
2000-07-11,0.2441,0.2469,0.2433,0.2469,0.2469,0
2000-07-12,0.2466,0.248,0.2451,0.2467,0.2467,0
2000-07-13,0.2465,0.2482,0.2425,0.2475,0.2475,0
2000-07-14,0.2472,0.248,0.245,0.2463,0.2463,0
2000-07-17,0.2458,0.2479,0.245,0.2479,0.2479,0
2000-07-18,0.2475,0.2508,0.2419,0.2506,0.2506,0
2000-07-19,0.2502,0.2504,0.2442,0.2493,0.2493,0
2000-07-20,0.2489,0.2495,0.2435,0.2482,0.2482,0
2000-07-21,0.2478,0.2497,0.2472,0.2483,0.2483,0
2000-07-24,0.2482,0.2499,0.2479,0.2499,0.2499,0
2000-07-25,0.2495,0.25,0.2446,0.2479,0.2479,0
2000-07-26,0.2476,0.2485,0.2465,0.2471,0.2471,0
2000-07-27,0.2467,0.2492,0.2464,0.2492,0.2492,0
2000-07-28,0.2489,0.2499,0.2476,0.2493,0.2493,0
2000-07-31,0.2487,0.2496,0.2478,0.2489,0.2489,0
2000-08-01,0.2485,0.2516,0.247,0.2514,0.2514,0
2000-08-02,0.2512,0.2512,0.2483,0.25,0.25,0
2000-08-03,0.2495,0.2527,0.2487,0.2502,0.2502,0
2000-08-04,0.2498,0.2515,0.2494,0.2514,0.2514,0
2000-08-07,0.2512,0.2522,0.25,0.2522,0.2522,0
2000-08-08,0.2519,0.2536,0.2512,0.2535,0.2535,0
