Date,Open,High,Low,Close,Adjusted_close,Volume
2019-07-08,0.0627,0.0629,0.0626,0.0628,0.0628,0
2019-07-07,0.0627,0.0628,0.0627,0.0627,0.0627,0
2019-07-05,0.0631,0.0632,0.0624,0.0629,0.0629,0
2019-07-04,0.063,0.0635,0.0628,0.0632,0.0632,0
2019-07-03,0.0628,0.0631,0.0626,0.0631,0.0631,0
2019-07-02,0.0626,0.0629,0.0623,0.0629,0.0629,0
2019-07-01,0.0624,0.0629,0.0622,0.0627,0.0627,0
2019-06-30,0.0624,0.0625,0.0624,0.0625,0.0625,0
2019-06-28,0.062,0.0625,0.0618,0.0625,0.0625,0
2019-06-27,0.0618,0.0622,0.0617,0.0621,0.0621,0
2019-06-26,0.0613,0.0619,0.0612,0.0619,0.0619,0
2019-06-25,0.061,0.0616,0.0609,0.0613,0.0613,0
2019-06-24,0.0614,0.0617,0.0609,0.0611,0.0611,0
2019-06-23,0.0614,0.0615,0.0612,0.0613,0.0613,0
2019-06-21,0.0618,0.0618,0.0612,0.0614,0.0614,0
2019-06-20,0.0621,0.0623,0.0616,0.0619,0.0619,0
2019-06-19,0.0615,0.0622,0.0612,0.0622,0.0622,0
2019-06-18,0.0602,0.0617,0.06,0.0616,0.0616,0
2019-06-17,0.0601,0.0604,0.06,0.0602,0.0602,0
2019-06-16,0.0601,0.0602,0.0601,0.0602,0.0602,0
2019-06-14,0.0596,0.0603,0.0595,0.0602,0.0602,0
2019-06-13,0.0595,0.0598,0.0593,0.0597,0.0597,0
2019-06-12,0.0602,0.0603,0.0594,0.0596,0.0596,0
2019-06-11,0.0596,0.0603,0.0595,0.0602,0.0602,0
2019-06-10,0.059,0.0598,0.059,0.0597,0.0597,0
2019-06-09,0.059,0.0593,0.059,0.0592,0.0592,0
2019-06-07,0.0591,0.0592,0.0585,0.059,0.059,0
2019-06-06,0.0598,0.06,0.0589,0.0592,0.0592,0
2019-06-05,0.0606,0.0607,0.0595,0.0599,0.0599,0
2019-06-04,0.0615,0.0616,0.0601,0.0607,0.0607,0
2019-06-03,0.0614,0.0618,0.0612,0.0616,0.0616,0
2019-06-02,0.0614,0.0614,0.0612,0.0612,0.0612,0
2019-05-31,0.0609,0.0617,0.0604,0.0613,0.0613,0
2019-05-30,0.0613,0.0616,0.0609,0.061,0.061,0
2019-05-29,0.0608,0.0614,0.0601,0.0614,0.0614,0
2019-05-28,0.0618,0.062,0.0606,0.0608,0.0608,0
2019-05-27,0.0619,0.062,0.0616,0.0619,0.0619,0
2019-05-26,0.0619,0.062,0.0618,0.0618,0.0618,0
2019-05-24,0.0617,0.0621,0.0616,0.062,0.062,0
2019-05-23,0.0623,0.0624,0.0616,0.0618,0.0618,0
2019-05-22,0.0621,0.0624,0.062,0.0624,0.0624,0
2019-05-21,0.0622,0.0624,0.0618,0.0622,0.0622,0
2019-05-20,0.0621,0.0624,0.062,0.0623,0.0623,0
2019-05-19,0.0621,0.0622,0.062,0.0621,0.0621,0
2019-05-17,0.0626,0.0627,0.0619,0.0621,0.0621,0
2019-05-16,0.0628,0.0632,0.0625,0.0627,0.0627,0
2019-05-15,0.0626,0.0629,0.0624,0.0628,0.0628,0
2019-05-14,0.0621,0.0628,0.0619,0.0627,0.0627,0
2019-05-13,0.0628,0.0628,0.0618,0.0622,0.0622,0
2019-05-12,0.0628,0.0628,0.0626,0.0626,0.0626,0
2019-05-10,0.0621,0.063,0.0619,0.0629,0.0629,0
2019-05-09,0.0621,0.0624,0.0615,0.0622,0.0622,0
2019-05-08,0.0619,0.0624,0.0617,0.0622,0.0622,0
2019-05-07,0.0617,0.0621,0.0614,0.062,0.062,0
2019-05-06,0.0621,0.0624,0.0614,0.0618,0.0618,0
2019-05-05,0.0621,0.0624,0.0617,0.0618,0.0618,0
2019-05-03,0.0616,0.0623,0.0614,0.0622,0.0622,0
2019-05-02,0.0617,0.0619,0.0613,0.0616,0.0616,0
2019-05-01,0.0623,0.0624,0.0617,0.0618,0.0618,0
2019-04-30,0.0624,0.0625,0.062,0.0624,0.0624,0
2019-04-29,0.0623,0.0627,0.0623,0.0625,0.0625,0
2019-04-28,0.0623,0.0624,0.0623,0.0623,0.0623,0
2019-04-26,0.0622,0.0627,0.062,0.0624,0.0624,0
2019-04-25,0.062,0.0624,0.0616,0.0624,0.0624,0
2019-04-24,0.0624,0.0625,0.0618,0.0621,0.0621,0
2019-04-23,0.0627,0.0628,0.0622,0.0625,0.0625,0
2019-04-22,0.0632,0.0633,0.0626,0.0628,0.0628,0
2019-04-21,0.0632,0.0633,0.0632,0.0632,0.0632,0
2019-04-19,0.0632,0.0633,0.0631,0.0633,0.0633,0
2019-04-18,0.0632,0.0634,0.0629,0.0634,0.0634,0
2019-04-17,0.0631,0.0635,0.063,0.0633,0.0633,0
2019-04-16,0.0629,0.0632,0.0626,0.0632,0.0632,0
2019-04-15,0.0634,0.0636,0.0628,0.063,0.063,0
2019-04-14,0.0634,0.0634,0.0633,0.0633,0.0633,0
2019-04-12,0.0634,0.0635,0.0628,0.0634,0.0634,0
2019-04-11,0.0637,0.0639,0.0631,0.0635,0.0635,0
2019-04-10,0.063,0.0639,0.0629,0.0638,0.0638,0
2019-04-09,0.0628,0.0633,0.0627,0.063,0.063,0
2019-04-08,0.0633,0.0633,0.0627,0.063,0.063,0
2019-04-07,0.0633,0.0633,0.0632,0.0632,0.0632,0
2019-04-05,0.063,0.0635,0.0629,0.0633,0.0633,0
2019-04-04,0.0629,0.0633,0.0625,0.0631,0.0631,0
2019-04-03,0.0628,0.0632,0.0626,0.063,0.063,0
2019-04-02,0.0629,0.0634,0.0625,0.0628,0.0628,0
2019-04-01,0.0615,0.0631,0.0613,0.0629,0.0629,0
2019-03-29,0.0609,0.062,0.0608,0.0615,0.0615,0
2019-03-28,0.0608,0.0611,0.0603,0.061,0.061,0
2019-03-27,0.0615,0.0616,0.0604,0.061,0.061,0
2019-03-26,0.0617,0.0618,0.0612,0.0616,0.0616,0
2019-03-25,0.0609,0.0618,0.0608,0.0618,0.0618,0
2019-03-22,0.0618,0.0619,0.0608,0.061,0.061,0
2019-03-21,0.0614,0.0622,0.0612,0.0619,0.0619,0
2019-03-20,0.0607,0.0617,0.0605,0.0615,0.0615,0
2019-03-19,0.061,0.0614,0.0606,0.0608,0.0608,0
2019-03-18,0.0612,0.0613,0.0608,0.061,0.061,0
2019-03-15,0.0608,0.0614,0.0607,0.0613,0.0613,0
2019-03-14,0.0612,0.0613,0.0608,0.0609,0.0609,0
2019-03-13,0.0617,0.0619,0.061,0.0613,0.0613,0
2019-03-12,0.062,0.0623,0.0616,0.0618,0.0618,0
2019-03-11,0.0616,0.0621,0.0615,0.062,0.062,0
2019-03-08,0.0616,0.0618,0.0611,0.0617,0.0617,0
2019-03-07,0.062,0.0622,0.0613,0.0616,0.0616,0
2019-03-06,0.0624,0.0625,0.0619,0.062,0.062,0
2019-03-05,0.062,0.0626,0.0619,0.0625,0.0625,0
2019-03-04,0.0617,0.0622,0.0616,0.0621,0.0621,0
2019-03-01,0.0624,0.0625,0.0617,0.0618,0.0618,0
2019-02-28,0.0631,0.0632,0.0623,0.0625,0.0625,0
2019-02-27,0.0634,0.0636,0.0628,0.0631,0.0631,0
2019-02-26,0.0636,0.0637,0.0632,0.0634,0.0634,0
2019-02-25,0.0631,0.0638,0.0629,0.0637,0.0637,0
2019-02-22,0.0628,0.0632,0.0627,0.063,0.063,0
